C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:55:02

Vmag < 6 & otype = 'Star'
-------------------------

Number of objects : 5066

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1   |* p Vir                            |PM*|13 54 42.1451337000 -01 30 11.241795960|     ~   |6.258    |5.159    |     ~   |     ~   |K1/2II/III           |  85 |   0
2   |* nu. Sco                          |** |16 11 59.73568 -19 27 38.5361          |3.42     |4.05     |4.00     |3.90     |3.87     |B2V                  | 397 |   0
3   |HD 179433                          |PM*|19 14 39.5609534856 -45 11 36.698965080|     ~   |6.812    |5.909    |     ~   |     ~   |G8III                |  25 |   0
4   |HD 15524                           |PM*|02 30 32.3533307604 +25 14 06.102857207|     ~   |6.291    |5.879    |     ~   |     ~   |F6IV                 |  68 |   0
5   |* del Cap                          |SB*|21 47 02.4442395 -16 07 38.233507      |3.22     |3.12     |2.83     |2.59     |2.43     |kA5hF0mF2III         | 278 |   0
6   |HD 36874                           |RG*|05 33 07.3874120568 -35 08 21.747176700|     ~   |6.852    |5.758    |     ~   |     ~   |K0III                |  35 |   0
7   |* 51 Aql                           |*  |19 50 46.7838182160 -10 45 48.633459876|     ~   |5.77     |5.39     |     ~   |     ~   |F5VFe-1CH-0.7        |  89 |   0
8   |* eps Oct                          |LP*|22 20 01.6806230015 -80 26 23.089683198|     ~   |6.433    |5.177    |     ~   |     ~   |M5III                |  65 |   0
9   |HD 135345                          |** |15 16 04.0190393016 -41 29 28.196512944|     ~   |5.730    |5.171    |     ~   |     ~   |A/F                  |  42 |   0
10  |* 79 Cyg                           |*  |21 43 25.6523360208 +38 17 00.927883932|     ~   |5.688    |5.695    |     ~   |     ~   |A0V                  |  48 |   0
11  |* f Oph                            |*  |17 34 36.6947095224 +09 35 12.106990644|5.82     |5.83     |5.81     |     ~   |     ~   |A2V                  |  57 |   0
12  |HD 13336                           |PM*|02 09 09.2923630368 -43 30 59.742871920|     ~   |7.042    |5.830    |     ~   |     ~   |K1III                |  18 |   0
13  |HD 79846                           |V* |09 14 17.9904977496 -55 34 10.667428428|     ~   |6.234    |5.254    |     ~   |     ~   |G8II/III             |  31 |   0
14  |* 75 Cyg                           |** |21 40 11.1100359936 +43 16 25.815895860|     ~   |6.682    |5.086    |     ~   |     ~   |M1IIIab              |  69 |   0
15  |* zet Hyi                          |PM*|02 45 32.6343702336 -67 36 59.820350688|     ~   |4.886    |4.820    |     ~   |     ~   |A2IV/V               |  48 |   0
16  |* gam CMi                          |SB*|07 28 09.7942869528 +08 55 31.888128216|7.26     |5.73     |4.30     |3.19     |2.40     |K3-IIIFe-0.5         | 109 |   0
17  |* ome Sco                          |bC*|16 06 48.4249866846 -20 40 09.079866331|3.10     |3.92     |3.97     |3.91     |3.99     |B1V                  | 484 |   0
18  |* eta Oph B                        |*  |17 10 22.636800 -15 43 30.65592        |     ~   |3.36     |3.26     |     ~   |     ~   |A3(V)                |   8 |   0
19  |HD 159358                          |*  |17 34 46.3515143064 -11 14 31.194437280|     ~   |5.540    |5.535    |     ~   |     ~   |B9V                  |  67 |   0
20  |V* CO UMa                          |LP*|11 09 19.0795189080 +36 18 33.766391952|8.75     |7.25     |5.74     |     ~   |     ~   |M4III                |  53 |   1
21  |* 10 Boo                           |*  |13 58 38.9229420984 +21 41 46.319545932|     ~   |5.743    |5.748    |     ~   |     ~   |A0Vs                 |  68 |   0
22  |HD 175535                          |SB*|18 53 13.5509916072 +50 42 29.594035404|     ~   |5.82     |4.92     |     ~   |     ~   |G7IIIaFe-1           |  90 |   0
23  |* 7 Aqr                            |*  |20 56 54.0265592448 -09 41 51.150476328|     ~   |6.97     |5.48     |     ~   |     ~   |K4III                |  42 |   0
24  |* alf Dor                          |a2*|04 33 59.77719 -55 02 41.9243          |2.83     |3.18     |3.28     |3.29     |3.38     |B8IIIpSi             | 150 |   0
25  |HD 72227                           |V* |08 30 28.6109192232 -32 09 33.418716480|     ~   |7.105    |5.588    |     ~   |     ~   |K3III                |  20 |   0
26  |HD 13522                           |*  |02 12 37.5398224584 +24 10 04.010957292|     ~   |7.340    |5.950    |     ~   |     ~   |K0                   |  17 |   0
27  |* 101 Her                          |*  |18 08 52.8638629248 +20 02 42.838723104|     ~   |5.259    |5.099    |     ~   |     ~   |A8III                |  50 |   0
28  |* 14 Psc                           |PM*|23 34 09.0149355936 -01 14 51.220689108|     ~   |6.193    |5.870    |     ~   |     ~   |A2II                 |  72 |   0
29  |HD 10307                           |SB*|01 41 47.1268541099 +42 36 48.221567818|5.69     |5.58     |4.96     |4.43     |4.10     |G1V                  | 513 |   0
30  |* 63 Sgr                           |*  |20 01 58.5993568704 -13 38 13.975050768|     ~   |5.753    |5.690    |     ~   |     ~   |A1IV                 |  40 |   0
31  |* nu. Eri                          |bC*|04 36 19.1419185396 -03 21 08.857744927|2.82     |3.737    |3.928    |     ~   |     ~   |B2III                | 403 |   0
32  |* iot Tri A                        |SB*|02 12 22.2796929264 +30 18 11.053179828|     ~   |6.03     |5.162    |     ~   |     ~   |G5III                |  17 |   0
33  |* L Vel                            |*  |09 34 08.7934716637 -51 15 18.958114695|4.04     |5.01     |5.03     |     ~   |     ~   |B2IV                 |  65 |   0
34  |* ksi Cyg                          |SB*|21 04 55.8599363125 +43 55 40.272058234|7.17     |5.39     |3.73     |2.55     |1.63     |K4.5Ib-II            | 319 |   0
35  |HD 168592                          |PM*|18 22 18.5733983520 -38 39 24.826092840|     ~   |6.579    |5.073    |     ~   |     ~   |K4/5III              |  30 |   0
36  |HD 154733                          |PM*|17 06 18.0468410496 +22 05 02.953974156|     ~   |6.871    |5.565    |     ~   |     ~   |K3III                | 112 |   0
37  |HD 18885                           |*  |03 01 56.1190857192 -09 57 41.053013964|     ~   |6.939    |5.837    |     ~   |     ~   |K1III                |  52 |   0
38  |HD 114533                          |*  |13 14 17.3297199240 -78 26 50.836156224|     ~   |6.882    |5.839    |     ~   |     ~   |G2Ib                 |  28 |   0
39  |* 56 Tau                           |a2*|04 19 36.7048893816 +21 46 24.566827836|     ~   |5.231    |5.346    |     ~   |     ~   |A0VpSi               | 191 |   0
40  |* k Car                            |*  |09 20 56.8130707392 -62 24 16.681055508|     ~   |5.733    |4.800    |     ~   |     ~   |G6III                |  52 |   0
41  |HD 142165                          |SB*|15 53 53.9142283800 -24 31 59.373289920|4.95     |5.350    |5.372    |     ~   |     ~   |B5V                  | 139 |   0
42  |* n Tau                            |PM*|05 19 16.6061769240 +22 05 47.421418380|     ~   |5.894    |4.948    |     ~   |     ~   |G8III                | 118 |   0
43  |V* FW Vir                          |LP*|12 38 22.4057053224 +01 51 16.779667860|9.13     |7.31     |5.71     |4.15     |2.73     |M3+IIICa0.5          |  72 |   0
44  |HD 15920                           |*  |02 38 02.0331728856 +72 49 05.710593144|     ~   |6.063    |5.166    |     ~   |     ~   |G8III                |  84 |   0
45  |* iot Boo                          |dS*|14 16 09.9297628080 +51 22 02.028703692|5.01     |4.95     |4.75     |4.60     |4.51     |A7V                  | 170 |   0
46  |* tet Lup                          |Pu*|16 06 35.5439828160 -36 48 08.173906632|3.36     |4.027    |4.201    |     ~   |     ~   |B2.5Vn               | 125 |   0
47  |* 31 Cas                           |*  |01 10 39.3224064744 +68 46 43.041646164|     ~   |5.280    |5.309    |     ~   |     ~   |A0Vnn                |  56 |   0
48  |* iot Tuc                          |PM*|01 07 18.6643221624 -61 46 31.038310848|     ~   |6.211    |5.342    |     ~   |     ~   |G5III                |  63 |   0
49  |* R Aps                            |PM*|14 57 52.9835186424 -76 39 45.556897968|     ~   |6.811    |5.359    |     ~   |     ~   |K4III:               |  34 |   0
50  |HD 20809                           |*  |03 23 13.1970566400 +49 12 47.774817972|     ~   |5.23     |5.30     |     ~   |     ~   |B5V                  | 146 |   0
51  |HD 10390                           |PM*|01 42 03.4896429408 +35 14 44.538913968|5.37     |5.57     |5.64     |     ~   |5.67     |B9V                  |  78 |   0
52  |HD 84117                           |PM*|09 42 14.4162029298 -23 54 56.042043626|     ~   |5.47     |4.94     |     ~   |     ~   |F9V                  | 217 |   0
53  |* c Per                            |Be*|04 08 39.6935695869 +47 42 45.038007366|3.45     |4.00     |4.03     |3.91     |3.93     |B3Ve                 | 389 |   0
54  |* k Tau                            |PM*|04 58 09.3920531112 +25 03 01.464917904|     ~   |5.803    |5.785    |     ~   |     ~   |A0V                  |  71 |   0
55  |* 35 Vul                           |*  |21 27 40.0577041416 +27 36 30.939965568|     ~   |5.421    |5.379    |     ~   |     ~   |A1VmA3               |  67 |   0
56  |HD 645                             |RG*|00 10 42.8341071816 -12 34 47.633650356|     ~   |6.861    |5.849    |     ~   |     ~   |K0III                |  65 |   0
57  |HD 193092                          |V* |20 16 55.2856987776 +40 21 54.273252420|     ~   |6.871    |5.236    |     ~   |     ~   |K3IIIaFe-1           |  78 |   0
58  |* 4 Vul                            |PM*|19 25 28.6026797712 +19 47 54.070179072|6.95     |6.14     |5.16     |     ~   |     ~   |G9III                |  88 |   0
59  |* 69 Aql                           |PM*|20 29 39.0000391008 -02 53 07.901363940|     ~   |6.065    |4.900    |     ~   |     ~   |K1/2III              |  82 |   0
60  |* del02 CMi                        |*  |07 33 11.6657432976 +03 17 25.365062508|     ~   |5.895    |5.571    |     ~   |     ~   |F1III-IV             |  67 |   0
61  |* bet Lac                          |** |22 23 33.6233135918 +52 13 44.568181879|6.26     |5.46     |4.44     |3.67     |3.10     |G9IIIbCa1            | 158 |   0
62  |* 47 Oph                           |SB*|17 26 37.8815658414 -05 05 11.754469183|4.90     |4.93     |4.54     |4.16     |3.95     |F3V                  | 163 |   0
63  |* mu. Tau                          |*  |04 15 32.0568707393 +08 53 32.491567629|3.74     |4.205    |4.279    |     ~   |     ~   |B3IV                 | 157 |   0
64  |HD 5608                            |SB*|00 58 14.2189353000 +33 57 03.184089156|     ~   |6.996    |5.980    |     ~   |     ~   |K0III                |  66 |   1
65  |* b Cap                            |PM*|21 28 43.4007028168 -21 48 25.847136535|6.00     |5.40     |4.50     |3.83     |3.37     |G7IIIbFe-1           |  81 |   0
66  |HD 111884                          |PM*|12 53 04.1646472368 -54 57 08.905750164|     ~   |7.217    |5.908    |     ~   |     ~   |K2III                |  30 |   0
67  |HD 50445                           |PM*|06 51 42.4207334784 -36 13 48.979898580|     ~   |6.120    |5.940    |     ~   |     ~   |A3V                  |  39 |   0
68  |V* V1743 Cyg                       |LP*|19 33 41.6060468328 +49 15 44.347514508|9.37     |7.60     |5.96     |     ~   |     ~   |M4.5III              |  82 |   0
69  |HD 62412                           |*  |07 42 48.1523787648 -26 21 04.775421528|     ~   |6.615    |5.628    |     ~   |     ~   |K1III                |  48 |   0
70  |HD 74146                           |SB*|08 39 57.5984976576 -53 03 17.016627132|4.48     |5.05     |5.19     |     ~   |     ~   |B5IV                 | 117 |   0
71  |HD 28413                           |*  |04 25 05.3369366208 -61 14 17.491400700|     ~   |7.467    |5.922    |     ~   |     ~   |K4/5III              |  24 |   0
72  |* z02 Car                          |s*b|11 08 33.9978278688 -61 56 49.832516832|4.96     |5.42     |5.19     |4.89     |4.72     |B9.5Ia               |  86 |   0
73  |V* S Car                           |Mi*|10 09 21.8927735544 -61 32 56.433503472|9.38     |7.63     |5.71     |5.20     |3.64     |K5-M6e               | 141 |   0
74  |* ups Peg                          |PM*|23 25 22.7828725585 +23 24 14.762916815|5.15     |5.01     |4.40     |3.86     |3.54     |F8III                | 260 |   0
75  |HD 191829                          |PM*|20 14 19.0252574688 -52 26 44.755327608|     ~   |7.152    |5.632    |     ~   |     ~   |K4III                |  15 |   0
76  |* 25 Her                           |** |16 25 24.1688222784 +37 23 38.586829272|5.790    |5.710    |5.540    |     ~   |     ~   |A5V                  | 103 |   0
77  |HD 145782                          |PM*|16 15 49.7975006976 -57 54 44.457871500|     ~   |5.744    |5.622    |     ~   |     ~   |A3III                |  34 |   0
78  |HD 144204                          |*  |16 02 05.5655978016 +52 54 57.377036916|     ~   |7.420    |5.902    |     ~   |     ~   |K5III                |  33 |   0
79  |* mu. Gem                          |LP*|06 22 57.62686 +22 30 48.8979          |6.37     |4.51     |2.87     |1.30     |-0.08    |M3IIIab              | 386 |   1
80  |HD 149886                          |** |16 39 05.2266008424 -37 13 02.553774384|     ~   |5.895    |5.914    |     ~   |     ~   |B9/A0V+B             |  34 |   0
81  |HD 44323                           |*  |06 19 40.9567510896 -34 23 47.727053376|     ~   |5.666    |5.749    |     ~   |     ~   |B9V                  |  39 |   0
82  |HD 175156                          |*  |18 54 43.1136473552 -15 36 10.932683925|     ~   |5.208    |5.086    |     ~   |     ~   |B3II                 | 134 |   0
83  |V* IM Peg                          |RS*|22 53 02.2663977960 +16 50 28.300547040|     ~   |7.024    |5.890    |     ~   |     ~   |K2III                | 347 |   1
84  |* 36 Dor                           |PM*|05 54 06.0545851778 -63 05 23.209034464|     ~   |5.70     |4.66     |     ~   |     ~   |K2III-IV             | 111 |   0
85  |* c02 Aqr                          |PM*|23 09 26.7960449399 -21 10 20.694738029|6.09     |4.87     |3.64     |2.80     |2.20     |K1.5III              | 105 |   0
86  |* 22 Eri                           |a2*|03 40 38.3331139440 -05 12 38.555731188|4.81     |5.38     |5.53     |     ~   |     ~   |B9IIIpSi4200         | 133 |   0
87  |* u Tau                            |SB*|03 45 40.4433670200 +06 02 59.985349222|     ~   |5.225    |5.337    |     ~   |     ~   |B3V                  | 136 |   0
