C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1   |HD 5015                            |PM*|00 53 04.1964421920 +61 07 26.299289856|5.43     |5.34     |4.80     |4.32     |4.02     |F9V                  | 231 |   1
2   |* nu. Sco                          |** |16 11 59.73568 -19 27 38.5361          |3.42     |4.05     |4.00     |3.90     |3.87     |B2V                  | 397 |   0
3   |* pi.02 UMa                        |PM*|08 40 12.8171670288 +64 19 40.570243212|6.94     |5.78     |4.61     |3.72     |3.09     |K1+III               | 174 |   1
4   |* tet Cen                          |PM*|14 06 40.94752 -36 22 11.8371          |3.94     |3.04     |2.05     |1.29     |0.76     |K0-IIIb              | 259 |   1
5   |* del Cap                          |SB*|21 47 02.4442395 -16 07 38.233507      |3.22     |3.12     |2.83     |2.59     |2.43     |kA5hF0mF2III         | 278 |   0
6   |* n Vel                            |*  |08 41 13.1290014504 -47 19 01.669533384|5.01     |4.89     |4.77     |4.56     |4.37     |A5II                 |  56 |   0
7   |* eta Lup                          |bC?|16 00 07.3279160436 -38 23 48.138224969|2.36     |3.19     |3.41     |     ~   |     ~   |B2.5IV               | 180 |   0
8   |* zet Hyi                          |PM*|02 45 32.6343702336 -67 36 59.820350688|     ~   |4.886    |4.820    |     ~   |     ~   |A2IV/V               |  48 |   0
9   |* gam CMi                          |SB*|07 28 09.7942869528 +08 55 31.888128216|7.26     |5.73     |4.30     |3.19     |2.40     |K3-IIIFe-0.5         | 109 |   0
10  |* gam Sct                          |*  |18 29 11.8505713195 -14 33 56.890493432|     ~   |4.739    |4.675    |     ~   |     ~   |A1IV/V               | 113 |   0
11  |* L01 Pup                          |a2*|07 13 13.3506005472 -45 10 57.855357732|     ~   |4.855    |4.874    |     ~   |     ~   |B9V                  |  96 |   0
12  |* ome Sco                          |bC*|16 06 48.4249866846 -20 40 09.079866331|3.10     |3.92     |3.97     |3.91     |3.99     |B1V                  | 484 |   0
13  |* eta Oph B                        |*  |17 10 22.636800 -15 43 30.65592        |     ~   |3.36     |3.26     |     ~   |     ~   |A3(V)                |   8 |   0
14  |* g Cen                            |LP*|13 49 26.7219319935 -34 27 02.784711526|7.15     |5.69     |4.19     |2.06     |0.19     |M5-III:              | 145 |   0
15  |HD 175535                          |SB*|18 53 13.5509916072 +50 42 29.594035404|     ~   |5.82     |4.92     |     ~   |     ~   |G7IIIaFe-1           |  90 |   0
16  |* i Car                            |*  |09 11 16.7220151749 -62 19 01.119842846|3.13     |3.774    |3.943    |     ~   |     ~   |B3V                  | 116 |   0
17  |* alf Dor                          |a2*|04 33 59.77719 -55 02 41.9243          |2.83     |3.18     |3.28     |3.29     |3.38     |B8IIIpSi             | 150 |   0
18  |* eps Mon                          |** |06 23 46.2 +04 35 44                   |4.65     |4.51     |4.31     |4.12     |4.02     |A7IV+F4V             |  12 |   0
19  |HD 10307                           |SB*|01 41 47.1268541099 +42 36 48.221567818|5.69     |5.58     |4.96     |4.43     |4.10     |G1V                  | 513 |   0
20  |* nu. Eri                          |bC*|04 36 19.1419185396 -03 21 08.857744927|2.82     |3.737    |3.928    |     ~   |     ~   |B2III                | 403 |   0
21  |* ksi Cyg                          |SB*|21 04 55.8599363125 +43 55 40.272058234|7.17     |5.39     |3.73     |2.55     |1.63     |K4.5Ib-II            | 319 |   0
22  |* tet Aur                          |a2*|05 59 43.27012 +37 12 45.3047          |2.36     |2.54     |2.62     |2.62     |2.68     |A0VpSi               | 291 |   1
23  |* k Car                            |*  |09 20 56.8130707392 -62 24 16.681055508|     ~   |5.733    |4.800    |     ~   |     ~   |G6III                |  52 |   0
24  |* n Tau                            |PM*|05 19 16.6061769240 +22 05 47.421418380|     ~   |5.894    |4.948    |     ~   |     ~   |G8III                | 118 |   0
25  |* eta CMa                          |s*b|07 24 05.70228 -29 18 11.1798          |1.65     |2.37     |2.45     |2.38     |2.44     |B5Ia                 | 373 |   0
26  |* alf Psc A                        |*  |02 02 02.8219762236 +02 45 49.579059841|     ~   |4.06     |4.11     |     ~   |     ~   |kA0hA7Sr             | 181 |   0
27  |HD 49878                           |PM*|07 00 04.0371845062 +76 58 38.671049122|     ~   |5.916    |4.540    |     ~   |     ~   |K4III                |  80 |   0
28  |* iot Boo                          |dS*|14 16 09.9297628080 +51 22 02.028703692|5.01     |4.95     |4.75     |4.60     |4.51     |A7V                  | 170 |   0
29  |* tet Lup                          |Pu*|16 06 35.5439828160 -36 48 08.173906632|3.36     |4.027    |4.201    |     ~   |     ~   |B2.5Vn               | 125 |   0
